Step 0: {'loss': 1496.1597900390625, 'l1_loss': 24204.447265625, 'l2_loss': 285.9373779296875}
Step 100: {'loss': 494.28009033203125, 'l1_loss': 6884.357421875, 'l2_loss': 150.06222534179688}
Step 200: {'loss': 220.0493621826172, 'l1_loss': 1217.555908203125, 'l2_loss': 159.17156982421875}
Step 300: {'loss': 169.2083282470703, 'l1_loss': 148.39524841308594, 'l2_loss': 161.78855895996094}
Step 400: {'loss': 168.2278289794922, 'l1_loss': 34.661476135253906, 'l2_loss': 166.4947509765625}
Step 500: {'loss': 159.43170166015625, 'l1_loss': 16.594575881958008, 'l2_loss': 158.6019744873047}
Step 600: {'loss': 165.00904846191406, 'l1_loss': 7.952544212341309, 'l2_loss': 164.61141967773438}
Step 700: {'loss': 170.92691040039062, 'l1_loss': 4.711709976196289, 'l2_loss': 170.6913299560547}
Step 800: {'loss': 166.5535430908203, 'l1_loss': 3.6201953887939453, 'l2_loss': 166.37252807617188}
Step 900: {'loss': 163.259765625, 'l1_loss': 2.750743865966797, 'l2_loss': 163.12222290039062}
Step 1000: {'loss': 166.3251953125, 'l1_loss': 1.7199957370758057, 'l2_loss': 166.23919677734375}
Step 1100: {'loss': 159.72019958496094, 'l1_loss': 1.3588669300079346, 'l2_loss': 159.65225219726562}
Step 1200: {'loss': 165.95901489257812, 'l1_loss': 0.9932289123535156, 'l2_loss': 165.9093475341797}
Step 1300: {'loss': 159.90185546875, 'l1_loss': 0.7665534019470215, 'l2_loss': 159.863525390625}
Step 1400: {'loss': 162.12142944335938, 'l1_loss': 0.6500988602638245, 'l2_loss': 162.08892822265625}
Step 1500: {'loss': 165.47898864746094, 'l1_loss': 0.46733641624450684, 'l2_loss': 165.45562744140625}
Step 1600: {'loss': 168.06646728515625, 'l1_loss': 1.197163701057434, 'l2_loss': 168.00660705566406}
Step 1700: {'loss': 162.35855102539062, 'l1_loss': 0.5743459463119507, 'l2_loss': 162.329833984375}
Step 1800: {'loss': 162.17581176757812, 'l1_loss': 0.5407869815826416, 'l2_loss': 162.14877319335938}
