Step 5800: {'loss': 135.58966064453125, 'l1_loss': 86.857421875, 'l2_loss': 131.24679565429688}
Step 5900: {'loss': 127.87471008300781, 'l1_loss': 93.90159606933594, 'l2_loss': 123.17962646484375}
Step 6000: {'loss': 125.73931884765625, 'l1_loss': 100.75895690917969, 'l2_loss': 120.70137023925781}
Step 6100: {'loss': 122.5938720703125, 'l1_loss': 115.2149887084961, 'l2_loss': 116.83312225341797}
Step 6200: {'loss': 117.7464828491211, 'l1_loss': 126.91700744628906, 'l2_loss': 111.400634765625}
Step 6300: {'loss': 117.94068145751953, 'l1_loss': 140.09219360351562, 'l2_loss': 110.93607330322266}
Step 6400: {'loss': 116.27881622314453, 'l1_loss': 128.66806030273438, 'l2_loss': 109.84541320800781}
Step 6500: {'loss': 116.7602767944336, 'l1_loss': 131.85873413085938, 'l2_loss': 110.16734313964844}
Step 6600: {'loss': 116.60328674316406, 'l1_loss': 146.73635864257812, 'l2_loss': 109.26647186279297}
Step 6700: {'loss': 115.86803436279297, 'l1_loss': 145.6446533203125, 'l2_loss': 108.58580017089844}
Step 6800: {'loss': 115.50944519042969, 'l1_loss': 138.04681396484375, 'l2_loss': 108.60710144042969}
Step 6900: {'loss': 115.34465789794922, 'l1_loss': 150.86795043945312, 'l2_loss': 107.80126190185547}
Step 7000: {'loss': 116.1897964477539, 'l1_loss': 160.00775146484375, 'l2_loss': 108.18940734863281}
Step 7100: {'loss': 115.03242492675781, 'l1_loss': 141.90142822265625, 'l2_loss': 107.9373550415039}
Step 7200: {'loss': 114.92261505126953, 'l1_loss': 143.787841796875, 'l2_loss': 107.73322296142578}
Step 7300: {'loss': 114.50863647460938, 'l1_loss': 139.14944458007812, 'l2_loss': 107.55116271972656}
Step 7400: {'loss': 114.42009735107422, 'l1_loss': 158.38604736328125, 'l2_loss': 106.50079345703125}
Step 7500: {'loss': 113.74402618408203, 'l1_loss': 146.66546630859375, 'l2_loss': 106.41075134277344}
Step 7600: {'loss': 114.77754211425781, 'l1_loss': 157.11260986328125, 'l2_loss': 106.92191314697266}
Step 7700: {'loss': 113.47254180908203, 'l1_loss': 145.4197998046875, 'l2_loss': 106.20155334472656}
Step 7800: {'loss': 114.24929809570312, 'l1_loss': 161.04669189453125, 'l2_loss': 106.19696044921875}
Step 7900: {'loss': 113.70777130126953, 'l1_loss': 160.798583984375, 'l2_loss': 105.66783905029297}
Step 8000: {'loss': 114.06158447265625, 'l1_loss': 156.55809020996094, 'l2_loss': 106.23368072509766}
Step 8100: {'loss': 113.99629211425781, 'l1_loss': 166.08665466308594, 'l2_loss': 105.69196319580078}
Step 8200: {'loss': 114.3849868774414, 'l1_loss': 162.17410278320312, 'l2_loss': 106.27628326416016}
Step 8300: {'loss': 113.16009521484375, 'l1_loss': 147.2032928466797, 'l2_loss': 105.7999267578125}
Step 8400: {'loss': 113.16136932373047, 'l1_loss': 149.07559204101562, 'l2_loss': 105.70758819580078}
Step 8500: {'loss': 113.05970764160156, 'l1_loss': 144.87939453125, 'l2_loss': 105.81573486328125}
Step 8600: {'loss': 113.85585021972656, 'l1_loss': 153.33224487304688, 'l2_loss': 106.18923950195312}
Step 8700: {'loss': 113.58879089355469, 'l1_loss': 161.07635498046875, 'l2_loss': 105.53497314453125}
Step 8800: {'loss': 113.2929916381836, 'l1_loss': 154.27078247070312, 'l2_loss': 105.57945251464844}
Step 8900: {'loss': 113.31581115722656, 'l1_loss': 159.827392578125, 'l2_loss': 105.3244400024414}
Step 9000: {'loss': 112.6385269165039, 'l1_loss': 147.7354736328125, 'l2_loss': 105.25175476074219}
Step 9100: {'loss': 113.88074493408203, 'l1_loss': 158.7855682373047, 'l2_loss': 105.94146728515625}
Step 9200: {'loss': 113.2820053100586, 'l1_loss': 157.97714233398438, 'l2_loss': 105.38314819335938}
Step 9300: {'loss': 113.22127532958984, 'l1_loss': 158.01895141601562, 'l2_loss': 105.32032775878906}
Step 9400: {'loss': 113.03929901123047, 'l1_loss': 152.74266052246094, 'l2_loss': 105.40216827392578}
Step 9500: {'loss': 113.72471618652344, 'l1_loss': 158.74107360839844, 'l2_loss': 105.78766632080078}
Step 9600: {'loss': 112.85539245605469, 'l1_loss': 151.0799560546875, 'l2_loss': 105.3013916015625}
Step 9700: {'loss': 113.52184295654297, 'l1_loss': 149.94863891601562, 'l2_loss': 106.0244140625}
Step 9800: {'loss': 113.01020812988281, 'l1_loss': 147.47085571289062, 'l2_loss': 105.63666534423828}
Step 9900: {'loss': 113.18923950195312, 'l1_loss': 160.8965606689453, 'l2_loss': 105.1444091796875}
Step 10000: {'loss': 113.25228881835938, 'l1_loss': 154.765380859375, 'l2_loss': 105.51402282714844}
Step 10100: {'loss': 113.81700134277344, 'l1_loss': 156.24362182617188, 'l2_loss': 106.00482177734375}
Step 10200: {'loss': 113.260986328125, 'l1_loss': 159.13121032714844, 'l2_loss': 105.30442810058594}
Step 10300: {'loss': 113.1675033569336, 'l1_loss': 151.42893981933594, 'l2_loss': 105.59605407714844}
Step 10400: {'loss': 111.8886947631836, 'l1_loss': 150.20486450195312, 'l2_loss': 104.37844848632812}
